id,name,perk_ids,job,authority_root_type,authority_root_id,practice_root_id,fusion_root_id,requirements,sources,rarity,zone_id,cp_cost,boundary,skill_group,block,skill_instance
vanguard,Vanguard,perk_vanguard,PROGRESS,SKILL,melee_weapons_handling,vanguard,,SKILL_LEVEL:melee_weapons_handling:1,,COMMON,,1,,WARRIOR,CORE,
bigger_is_better,Bigger is Better,perk_bigger_is_better,PROGRESS,SKILL,melee_weapons_handling,vanguard,,SKILL_LEVEL:melee_weapons_handling:3,,COMMON,,1,,WARRIOR,CORE,
thundering,Thundering,perk_thundering,PROGRESS,SKILL,melee_weapons_handling,vanguard,,SKILL_LEVEL:melee_weapons_handling:5,,COMMON,,1,,WARRIOR,CORE,
penetrating_force,Penetrating Force,perk_penetrating_force,PROGRESS,SKILL,melee_weapons_handling,vanguard,,SKILL_LEVEL:melee_weapons_handling:7,,COMMON,,1,,WARRIOR,CORE,
emphatic,Emphatic,perk_emphatic,PROGRESS,SKILL,sense_motive,emphatic,,SKILL_LEVEL:sense_motive:1,,COMMON,,1,,High Class,SUPPORT,
false_bane,False Bane,perk_false_bane,PROGRESS,SKILL,sense_motive,emphatic,,SKILL_LEVEL:sense_motive:3,,COMMON,,1,,High Class,SUPPORT,
deep_reading,Deep Reading,perk_deep_reading,PROGRESS,SKILL,sense_motive,emphatic,,SKILL_LEVEL:sense_motive:7,,COMMON,,1,,High Class,SUPPORT,
heavy_fitted,Heavy Fitted,perk_heavy_fitted,PROGRESS,SKILL,full_armor_handling,heavy_fitted,,SKILL_LEVEL:full_armor_handling:1,,COMMON,,1,,WARRIOR,CORE,
stout_defender,Stout Defender,perk_stout_defender,PROGRESS,SKILL,full_armor_handling,heavy_fitted,,SKILL_LEVEL:full_armor_handling:5,,COMMON,,1,,WARRIOR,CORE,
shieldbearer,Shieldbearer,perk_shieldbearer,PROGRESS,SKILL,full_armor_handling,shieldbearer,,SKILL_LEVEL:full_armor_handling:1,,COMMON,,1,,WARRIOR,CORE,
stone_block,Stone Block,perk_stone_block,PROGRESS,SKILL,full_armor_handling,shieldbearer,,SKILL_LEVEL:full_armor_handling:3,,COMMON,,1,,WARRIOR,CORE,
moving_block,Moving Block,perk_moving_block,PROGRESS,SKILL,full_armor_handling,shieldbearer,,SKILL_LEVEL:full_armor_handling:5,,COMMON,,1,,WARRIOR,CORE,
stubborn_shield,Stubborn Shield,perk_stubborn_shield,PROGRESS,SKILL,full_armor_handling,shieldbearer,,SKILL_LEVEL:full_armor_handling:7,,COMMON,,1,,WARRIOR,CORE,
attitude_change,Attitude Change,perk_attitude_change,PROGRESS,SKILL,diplomacy,etiquette,,SKILL_LEVEL:diplomacy:5,,COMMON,,1,,High Class,SUPPORT,
corageous_heart,Corageous Heart,perk_corageous_heart,PROGRESS,SKILL,discipline,corageous_heart,,SKILL_LEVEL:discipline:1,,COMMON,,1,,WARRIOR,CORE,
nerves_of_steel,Nerves of Steel,perk_nerves_of_steel,PROGRESS,SKILL,discipline,corageous_heart,,SKILL_LEVEL:discipline:5,,COMMON,,1,,WARRIOR,CORE,
fighting_spirit,Fighting Spirit,perk_fighting_spirit,PROGRESS,SKILL,discipline,corageous_heart,,SKILL_LEVEL:discipline:7,,COMMON,,1,,WARRIOR,CORE,
word_in_the_street,Word in the Street,perk_word_in_the_street,PROGRESS,SKILL,streetwise,all_ears,,SKILL_LEVEL:streetwise:3,,COMMON,,1,,Low Class,SUPPORT,
street_vigilance,Street Vigilance,perk_street_vigilance,PROGRESS,SKILL,streetwise,all_ears,,SKILL_LEVEL:streetwise:5,,COMMON,,1,,Low Class,SUPPORT,
background_check,Background Check,perk_background_check,PROGRESS,SKILL,streetwise,all_ears,,SKILL_LEVEL:streetwise:7,,COMMON,,1,,Low Class,SUPPORT,
