id,name,subject,subject_suggested,family,family_suggested,tier,bonus_category,bonus_type,text,boundary,counterweight,enhanced_threshold,enhanced_text,confidence
perk_vanguard,Vanguard,melee_weapons_handling_roll,heavy_weapons_handling_effect,PERMISSION,PERMISSION,ENTRY,,,"Heavy Proficiency - Apertura de Maestria de ARMAS (o) Añade 20 pts de maestria de armas a una pre-existente solo aplicable a armas que usan el atributo STR , solo un tipo de Arma es elegido. Ej: Hachas, Martillos, Espadas, etc",,,,,MED
perk_bigger_is_better,Bigger is Better,melee_weapons_handling_roll,heavy_weapons_handling_effect,,,ENTRY,,,Heavy Arms -,,,,,LOW
perk_thundering,Thundering,damage,heavy_weapons_handling_effect,FLAT_BONUS,FLAT_BONUS,ENTRY,ABILITY,TRAINING,"Thundering - Amplificas efectos basados en impacto como Stun, Knockback y Presion. Mientras esten basados en el Atributo de Fuerza (STR) y provenga de un ataque fisico de melee",,,,,HIGH
perk_penetrating_force,Penetrating Force,damage,heavy_weapons_handling_effect,THRESHOLD,,ENTRY,ABILITY,TRAINING,"Penetrate -No te pueden detener!, tus ataques basados en Fuerza a melee ignoran 5 pts de armadura y 5 pts de reduccion de daño",,,,,HIGH
perk_emphatic,Emphatic,social_insight,sense_motive_effect,COVERAGE,FLAT_BONUS,ENTRY,,,Sensitive - Extra information,,,,,HIGH
perk_false_bane,False Bane,social_deception,sense_motive_effect,FLAT_BONUS,FLAT_BONUS,ENTRY,CIRCUMSTANTIAL,TRAINING,bonus aganist deceptions and bluffs,,,,,HIGH
perk_deep_reading,Deep Reading,social_insight,sense_motive_effect,COVERAGE,,ENTRY,,,"Obtain information from corporal deamenor and from simple observation, interaction is not needed",,,,,LOW
perk_heavy_fitted,Heavy Fitted,armor_protection,heavy_armor_handling_effect,PERMISSION,,ENTRY,,,Heavy Armor Proficieny -,,,,,MED
perk_stout_defender,Stout Defender,damage,heavy_armor_handling_effect,FLAT_BONUS,,ENTRY,ABILITY,TERRAIN,Reduce your damage by dispelling in the ground. You cannot move but you gain higher damage reduction,,,,,HIGH
perk_influencer,Influencer,social_influence,court_effect,FLAT_BONUS,FLAT_BONUS,ENTRY,CIRCUMSTANTIAL,MORALE,your words have the power to inspire people. By preaching or speaking people may be inspired gaining a moral bonus,,,,,HIGH
perk_suggestion,Suggestion,social_influence,court_effect,FLAT_BONUS,,ENTRY,CIRCUMSTANTIAL,TRAINING,"your words have a power to subly steer people toward certain throughts or implant ideas, higher intelligence makes it harder. It lowers the dificulty of suble and disguised interactions",,,,,HIGH
perk_shieldbearer,Shieldbearer,block,shield_effect,PERMISSION,,ENTRY,,,Shield Proficieny -,,,,,LOW
perk_stone_block,Stone Block,block,shield_effect,FLAT_BONUS,FLAT_BONUS,ENTRY,ABILITY,ARMOR,increases shield stopping power when not moving that same round,,,,,HIGH
