group_id,name,type,key_attribute
academic,ACADEMIC,SUPPORT,INT
artisan,ARTISAN,SUPPORT,INT
butcher,BUTCHER,SUPPORT,STR
engineer,ENGINEER,SUPPORT,INT
farmer,FARMER,SUPPORT,WIL
high_class,HIGH CLASS,SUPPORT,CHA
hunter,HUNTER,SUPPORT,PER
lawmaker,LAWMAKER,SUPPORT,WIL
low_class,LOW CLASS,SUPPORT,PER
merc,MERC,SUPPORT,STR
merchant,MERCHANT,SUPPORT,PER
minstrel,MINSTREL,SUPPORT,PER
mystic,MYSTIC,SUPPORT,INT
pharmascist,PHARMASCIST,SUPPORT,WIL
savage,SAVAGE,SUPPORT,WIL
showman,SHOWMAN,SUPPORT,CHA
survivalist,SURVIVALIST,SUPPORT,STR
thief,THIEF,SUPPORT,AGI
traveller,TRAVELLER,SUPPORT,WIL
witch,WITCH,SUPPORT,CHA
bard,BARD,CORE,CHA
brawler,BRAWLER,CORE,AGI
druid,DRUID,CORE,CHA
explorer,EXPLORER,CORE,PER
mage,MAGE,CORE,INT
priest,PRIEST,CORE,CHA
rouge,ROUGE,CORE,AGI
warrior,WARRIOR,CORE,STR
sorceror,SORCEROR,CORE,CHA
