level,success_tn,great_tn,epic_tn,heroic_tn,explosion_gate,effect_bonus,dice_pool,mastery_label,unlock,cp_cost,cp_accum,cp_cost_mastery,cp_accum_mastery,knowledge_tier
1,15,40,,,10,+6,,,,0,0,0,0,CORE
2,14,39,,,10,+7,,,,5,5,5,5,CORE
3,13,38,,,10,+8,,,,5,10,5,10,CORE
4,12,37,,,10,+9,,,,5,15,5,15,CORE
5,11,36,,,10,+10,1d10,,,5,20,5,20,CORE
6,10,35,,,10,+11,,,,10,30,5,25,CORE
7,10,34,,,10,+12,,,,10,40,5,30,CORE
8,10,33,,,10,+13,,,,10,50,5,35,CORE
9,10,32,,,10,+14,,,,10,60,5,40,CORE
10,10,31,,,10,+15,,Domini (-5CP),,10,70,5,45,CORE
11,10,30,54,,10,+21,,,Specialization (I),15,85,5,50,ADVANCED
12,9,29,53,,10,+22,,,,15,100,5,55,ADVANCED
13,8,28,52,,10,+23,,,,15,115,5,60,ADVANCED
14,7,27,51,,10,+24,,,,15,130,5,65,ADVANCED
15,6,26,50,,10,+25,2d10,,,15,145,5,70,ADVANCED
16,5,25,49,,10,+26,,,,15,160,5,75,ADVANCED
17,5,24,48,,10,+27,,,,15,175,5,80,ADVANCED
18,5,23,47,,10,+28,,,,15,190,5,85,ADVANCED
19,5,22,46,,10,+29,,,,15,205,5,90,ADVANCED
20,5,21,45,,10,+30,,,Focus(Sp I),15,220,5,95,ADVANCED
21,5,20,44,,10,+31,,,,20,240,10,105,ADVANCED
22,5,19,43,,10,+32,,,,20,260,10,115,ADVANCED
23,5,18,42,,10,+33,,,,20,280,10,125,ADVANCED
24,5,17,41,,10,+34,,,,20,300,10,135,ADVANCED
25,5,16,40,,10,+35,,Adept (-5CP),,20,320,10,145,ADVANCED
26,,15,39,64,9,+42,,,Specialization (II),25,345,10,155,SUPERIOR
27,,14,38,63,9,+44,,,,25,370,10,165,SUPERIOR
28,,13,37,62,9,+46,,,,25,395,10,175,SUPERIOR
29,,12,36,61,9,+48,,,,25,420,10,185,SUPERIOR
30,,11,35,60,9,+50,,,Focus(Sp II),25,445,10,195,SUPERIOR
31,,10,34,59,9,+52,,,,25,470,10,205,SUPERIOR
32,,10,33,58,9,+54,,,,25,495,10,215,SUPERIOR
33,,10,32,57,9,+56,,,,25,520,10,225,SUPERIOR
34,,10,31,56,9,+58,,,,25,545,10,235,SUPERIOR
35,,10,30,55,9,+60,4d10,,,25,570,10,245,SUPERIOR
36,,10,29,54,9,+62,,,,30,600,15,260,SUPERIOR
37,,10,28,53,9,+64,,,,30,630,15,275,SUPERIOR
38,,10,27,52,9,+66,,,,30,660,15,290,SUPERIOR
39,,10,26,51,9,+68,,,,30,690,15,305,SUPERIOR
40,,10,25,50,9,+70,,Expert (-5CP),,30,720,15,320,SUPERIOR
41,,10,24,49,8,+78,,,Specialization (III),35,755,15,335,APEX
42,,9,23,48,8,+81,,,,35,790,15,350,APEX
43,,8,22,47,8,+84,,,,35,825,15,365,APEX
44,,7,21,46,8,+87,,,,35,860,15,380,APEX
45,,6,20,45,8,+90,5d10,,,35,895,15,395,APEX
46,,5,19,44,8,+93,,,,40,935,20,415,APEX
47,,5,18,43,8,+96,,,,40,975,20,435,APEX
48,,5,17,42,8,+99,,,,40,1015,20,455,APEX
49,,5,16,41,8,+102,,,,40,1055,20,475,APEX
50,,5,15,40,8,+105,,MAstery (-5CP),,40,1095,20,495,APEX
