legacy_skill_id,legacy_skill_name,occurrences,closest_reference_match,similarity,resolved_id
animal_empathy,Animal Empathy,4,Animal Empathy,1.000,
astrology,Astrology,4,Astrology,1.000,
basic_interference_magic,Basic Interference Magic,4,Formal Magics,0.292,
basic_reinforcement_magic,Basic Reinforcement Magic,4,Formal Magics,0.360,
basic_single_elementalism,Basic Single Elementalism,4,Basic Mana Discipline,0.400,
building_simple_building_digging_etc,Building Simple Building Digging Etc,4,Basic Mana Discipline,0.306,
farming_animal_husbandry,Farming Animal Husbandry,4,Animal Empathy,0.375,
farming_artisan_goods,Farming Artisan Goods,4,Formal Magics,0.333,
farming_plant_crops,Farming Plant Crops,4,Formal Magics,0.368,
formal_magics,Formal Magics,4,Formal Magics,1.000,
heavy_weapons_handling,Heavy Weapons Handling,4,Melee Weapons,0.409,
herbalism,Herbalism,4,Herbalism,1.000,
inclemence,Inclemence,4,Inclemence,1.000,
investigation,Investigation,4,Investigation,1.000,
knowledge_specific,Knowledge Specific,4,Knowledge,0.500,
light_weapons_handling,Light Weapons Handling,4,Light Weapons,0.591,
linguistics,Linguistics,4,Linguistics,1.000,
magic_obj_scyring,Magic Obj Scyring,4,Magic Object,0.588,
mechanics,Mechanics,4,Mechanics,1.000,
nature_focus,Nature Focus,4,Nature Focus,1.000,
observe,Observe,4,Knowledge,0.333,
perform_dancing_show,Perform Dancing Show,4,Perform,0.350,
perform_music_instrument,Perform Music Instrument,4,Perform,0.292,
perform_singing,Perform Singing,4,Perform,0.467,
piety,Piety,4,Piety,1.000,
projectile_weapons_handling,Projectile Weapons Handling,4,Projectile Weapons,0.667,
shield,Shield,4,Hide,0.333,
spellcraft,Spellcraft,4,Spellcraft,1.000,
spirit_sensitivity,Spirit Sensitivity,4,Spirit Sensitivity,1.000,
spiritism_faith,Spiritism Faith,4,Spirit Sensitivity,0.500,
throwing_weapons_handling,Throwing Weapons Handling,4,Sleight of Hand,0.320,
tracking,Tracking,4,Tracking,1.000,
truth_faith,Truth Faith,4,Faith,0.455,
wayfarer,Wayfarer,4,Wayfarer,1.000,
acting_circus_entertainer,Acting Circus Entertainer,3,Linguistics,0.280,
acting_theatre_comedy_etc,Acting Theatre Comedy Etc,3,Culture Lore,0.280,
alert,Alert,3,Alert,1.000,
artcraft_drawing_painting_etc,Artcraft Drawing Painting Etc,3,Spirit Sensitivity,0.276,
athletism,Athletism,3,Athletism,1.000,
climbing,Climbing,3,Climbing,1.000,
comerce,Comerce,3,Inclemence,0.500,
cooking,Cooking,3,Cooking,1.000,
craft_metalwork,Craft Metalwork,3,Culture Lore,0.400,
discipline,Discipline,3,Discipline,1.000,
dismantle,Dismantle,3,Dismantle,1.000,
dungeoneer,Dungeoneer,3,Sense Motive,0.250,
grappling,Grappling,3,Brawling,0.667,
healing,Healing,3,Healing,1.000,
hide,Hide,3,Hide,1.000,
holy_light_faith,Holy Light Faith,3,Light Armor,0.375,
light_armor_handling,Light Armor Handling,3,Light Armor,0.550,
magic_obj_common,Magic Obj Common,3,Magic Object,0.625,
magic_obj_shield,Magic Obj Shield,3,Magic Object,0.625,
minning,Minning,3,Minning,1.000,
rest,Rest,3,Rest,1.000,
sense_motive,Sense Motive,3,Sense Motive,1.000,
sleight_of_hand,Sleight Of Hand,3,Sleight of Hand,1.000,
still_mind_focus,Still Mind Focus,3,"Still Mind, Focus",0.941,
streetwise,Streetwise,3,Streetwise,1.000,
taming,Taming,3,Farming,0.714,
trapper,Trapper,3,Trapper,1.000,
wilderness,Wilderness,3,Melee Weapons,0.308,
apraisal,Apraisal,2,Appraisal,0.889,
artcraft_sculpting_engraving_etc,Artcraft Sculpting Engraving Etc,2,Spirit Sensitivity,0.281,
battle,Battle,2,Battle,1.000,
bluff,Bluff,2,Bluff,1.000,
brawling,Brawling,2,Brawling,1.000,
court,Court,2,Craft,0.400,
craft_woodwork,Craft Woodwork,2,Craft,0.357,
haggle,Haggle,2,Haggle,1.000,
handcraft_sewing_leather,Handcraft Sewing Leather,2,Animal Empathy,0.333,
heavy_armor_handling,Heavy Armor Handling,2,Heavy Armor,0.550,
intimidation,Intimidation,2,Intimidation,1.000,
mana_sensitivity,Mana Sensitivity,2,Mana Sensitivity,1.000,
temptation,Temptation,2,Intimidation,0.583,
concentration,Concentration,1,Investigation,0.538,
diplomacy,Diplomacy,1,Diplomacy,1.000,
heightened_senses,Heightened Senses,1,Light Weapons,0.412,
lockpick,Lockpick,1,Lockpick,1.000,
