skill_id,name,attribute,type,rank,tier,description
athletism,Athletism,AGI,Support,Iron,Root,the simple handling of your body nimbleness including general cardio and gymnastics
dismantle,Dismantle,AGI,Support,Iron,Root,"proficiency into dismantling plants, animals and monsters to extract ingredients and byproducts"
hide,Hide,AGI,Support,Iron,Root,"the ability to hide efficiently, it only allows to hide without movement"
riding,Riding,AGI,Support,Iron,Root,the proficiency into using horses and other similar land riding mounts
sleight_of_hand,Sleight of Hand,AGI,Support,Iron,Root,the use of hand deft movements in cunning ways to peform hand tricks
acting,Acting,CAR,Support,Iron,Root,performing a complete interpretation of a pre-made role/script
animal_empathy,Animal Empathy,CAR,Support,Iron,Root,the ability to deal with animals and manage them without the use of force
bluff,Bluff,CAR,Support,Iron,Root,"proficiency in lying, flattering or gaslighting others in social environments"
diplomacy,Diplomacy,CAR,Support,Iron,Root,the ability to mediate or converse in a formal manner in social environments
haggle,Haggle,CAR,Support,Iron,Root,the ability to negotiate the trade of goods or advantages in a social environment
intimidation,Intimidation,CAR,Support,Iron,Root,the ability to threaten others by using simple words and bodily language
perform,Perform,CAR,Support,Iron,Root,the ability to express yourself with body language and produce basic music improvising with sounds
spirit_sensitivity,Spirit Sensitivity,CAR,Support,Iron,Root,the ability to sense spirits and interact with the unseen supernatural world in a simple manner
astrology,Astrology,INT,Support,Iron,Root,the proficiency to gaze into the stars and other omens and derive some abstract fortune from it
craft,Craft,INT,Support,Iron,Root,the specialized ability to craft items usign specific tools (this ability needs to be specialized)
culture_lore,Culture Lore,INT,Support,Iron,Root,the general knowledge of the subtleties of the current culture and common knowlesdge in your geographical zone
formal_magics,Formal Magics,INT,Support,Iron,Root,"the knowledge to use basic forms, traces, drawings and simple materials to perform very basic magic under the right conditions"
herbalism,Herbalism,INT,Support,Iron,Root,the knowledge about simple herbs and other natural plant resources
knowledge,Knowledge,INT,Support,Iron,Root,the specialized knowledge on a particular subject matter ( this ability needs to be specialized)
linguistics,Linguistics,INT,Support,Iron,Root,the ability to understand foreign languages and decipher all manners of
lockpick,Lockpick,INT,Support,Iron,Root,the ability to picklocks and open closed doors and other mechanism by using simple tools
magic_object,Magic Object,INT,Support,Iron,Root,"proficiency into all manners of mana-fueled magical objects, and the ability to use them in a safer way"
mechanics,Mechanics,INT,Support,Iron,Root,proficiency in all manners of simple machinery and their usage
trapper,Trapper,INT,Support,Iron,Root,the ability to either use and place simple traps efficiently or disable them
alert,Alert,PER,Support,Iron,Root,keen senses capable of perceiving direct threats and other unseen dangers
appraisal,Appraisal,PER,Support,Iron,Root,proficiency into perceiving the value of things using money as a measurement with added information
battle,Battle,PER,Support,Iron,Root,basic tactical understanding and common battle practices for warriors
investigation,Investigation,PER,Support,Iron,Root,the ability to derive secrets and research related content to pursue a specific truth
sense_motive,Sense Motive,PER,Support,Iron,Root,the proficiency to understand social nuances and understand a person interests in a social environment
spellcraft,Spellcraft,PER,Support,Iron,Root,the knowledge about general spells and magical phenomena in a way where its easy to adress them
streetwise,Streetwise,PER,Support,Iron,Root,proficiency in the dealings of the low ranks as well as the ability to extract information from it
tracking,Tracking,PER,Support,Iron,Root,proficiency following trails and tracks of land walking creatures in natural environments
climbing,Climbing,STR,Support,Iron,Root,physical prowess to climb into high places by using ledges and natural terrain roughness
handicraft,HandiCraft,STR,Support,Iron,Root,"proficiency in all manners of simple crafting (non-specific), useful from repairs to crafting of improvised items, the medieval equivalent of DIY"
inclemence,Inclemence,STR,Support,Iron,Root,the physical ability to endure harsh environmental conditions and adapt to diferent
minning,Minning,STR,Support,Iron,Root,"proficiency on excavating soil, rock mining and general landwork in a efficient manner, its very physical work"
rest,Rest,STR,Support,Iron,Root,the ability to rest in a deeper and more efficient manner aiming to block out disturbances
cooking,Cooking,WIL,Support,Iron,Root,"proficiency in cooking simple meals using common materials, it produces consumable items"
discipline,Discipline,WIL,Support,Iron,Root,the ability to ignore and endure distractions and feints in combat to heighten your combat focus
farming,Farming,WIL,Support,Iron,Root,the production ability to work the land in order to generate produce in long terms
healing,Healing,WIL,Support,Iron,Root,the basic medical skill to treat simple wounds and other physical traumas
mental_focus,Mental Focus,WIL,Support,Iron,Root,the ability to keep your mental focus while enduring damages and distractions to the user
wayfarer,Wayfarer,WIL,Support,Iron,Root,the knowledge of the land and the ability to recognize signs of potential road dangers
brawling,Brawling,AGI,Core,Iron,Root,The main proficiency of physical close quarter combat using bare hands
light_weapons,Light Weapons,AGI,Core,Iron,Root,The main proficiency using light weapons that depend on nimbleness and presition
faith,Faith,CAR,Core,Iron,Root,the main proficiency of using divine based miracles of different origins (requieres specialization)
nature_focus,Nature Focus,CAR,Core,Iron,Root,the main proficiency of using natural abilities and commune with nature
basic_mana_discipline,Basic Mana Discipline,INT,Core,Iron,Root,the main proficiency of using mana based spells and abilities of mystical origin (requieres specialization)
mana_sensitivity,Mana Sensitivity,PER,Core,Iron,Root,the main proficiency of attuning oneself with mana in your surroundings and commune with it
projectile_weapons,Projectile Weapons,PER,Core,Iron,Root,The main proficiency using projectile weapons that depend on perception
heavy_armor,Heavy Armor,STR,Core,Iron,Root,"The main proficiency for using medium and heavy armors such as banded, plate and composite armors"
light_armor,Light Armor,STR,Core,Iron,Root,"The main proficiency for using light and medium armors such as leather, armlets and padded armor"
melee_weapons,Melee Weapons,STR,Core,Iron,Root,the use of all types of melee weapons both light and heavy
piety,Piety,WIL,Core,Iron,Root,The main proficiency for attuning oneself with divine power and commune with it
still_mind_focus,"Still Mind, Focus",WIL,Core,Iron,Root,The main proficiency for self discipline and attaining clarity on combat
