skill_id,name,attribute,alt_attribute,macro,kind,groups,is_parameterized,instance_note
basic_mana_discipline,Basic Mana Discipline,INT,,MIND2,CORE,MAGE;SORCEROR,FALSE,
brawling,Brawling,AGI,,AGI - BODY - SPRT,CORE,BRAWLER,FALSE,
full_armor_handling,Full Armor Handling,STR,,,CORE,WARRIOR,FALSE,
holy_light_faith,"Holy Light, Faith",CAR,,SPR2,CORE,PRIEST,FALSE,
light_armor_handling,Light Armor Handling,STR,AGI,,CORE,EXPLORER;ROUGE,FALSE,
light_weapons_handling,Light Weapons Handling,AGI,,AGI -BODY - MIND,CORE,DRUID;ROUGE,FALSE,
mana_sensitivity,Mana Sensitivity,PER,WIL,,CORE,BARD;MAGE,FALSE,
melee_weapons_handling,Melee Weapons Handling,STR,AGI,STR- BODY - SPRT,CORE,BARD;WARRIOR,FALSE,
nature_focus,"Nature, Focus",CAR,,CAR - SPR-BODY,CORE,DRUID,FALSE,
piety,Piety,WIL,,,CORE,PRIEST,FALSE,
projectile_weapons_handling,Projectile Weapons Handling,PER,,PER - BODY - MIND,CORE,EXPLORER,FALSE,
still_mind_focus,"Still Mind, Focus",WIL,,,CORE,BRAWLER,FALSE,
acting,Acting,CAR,,,SUPPORT,,FALSE,
alert,Alert,PER,,,SUPPORT,ROUGE,FALSE,
animal_empathy,Animal Empathy,CAR,,,SUPPORT,,FALSE,
apraisal,Apraisal,PER,,,SUPPORT,,FALSE,
astrology,Astrology,INT,,,SUPPORT,DRUID;Mystic,FALSE,
athletism,Athletism,AGI,,,SUPPORT,BRAWLER;WARRIOR,FALSE,
battle,Battle,PER,,,SUPPORT,,FALSE,
bluff,Bluff,CAR,,,SUPPORT,BRAWLER;Minstrel,FALSE,
climbing,Climbing,STR,,,SUPPORT,,FALSE,
cooking,Cooking,WIL,,,SUPPORT,,FALSE,
craft,Craft,INT,,,SUPPORT,,TRUE,"must declare specialty: Metalwork, Woodwork, Drawing/Painting, Sculpting/Engraving. Specialized industries are zone-local."
culture_lore,Culture Lore,INT,,,SUPPORT,BARD;Minstrel,FALSE,
diplomacy,Diplomacy,#N/A,,,SUPPORT,,FALSE,
discipline,Discipline,WIL,,,SUPPORT,PRIEST;WARRIOR,FALSE,
dismantle,Dismantle,#N/A,,,SUPPORT,,FALSE,
farming,Farming,WIL,,,SUPPORT,,FALSE,
formal_magics,Formal Magics,INT,,,SUPPORT,,FALSE,
haggle,Haggle,CAR,,,SUPPORT,,FALSE,
handicraft,HandiCraft,STR,,,SUPPORT,,FALSE,generalized crafting; Sewing/Leather and other burden-reduction work are later branches
healing,Healing,WIL,,,SUPPORT,PRIEST,FALSE,
herbalism,Herbalism,INT,,,SUPPORT,,FALSE,
hide,Hide,AGI,,,SUPPORT,EXPLORER;ROUGE,FALSE,
inclemence,Inclemence,STR,,,SUPPORT,,FALSE,
intimidation,Intimidation,WIL,,,SUPPORT,WARRIOR,FALSE,
investigation,Investigation,PER,,,SUPPORT,,FALSE,
knowledge_specific,Knowledge (Specific),INT,,,SUPPORT,,TRUE,must declare field
linguistics,Linguistics,INT,,,SUPPORT,,FALSE,
lockpick,Lockpick,INT,,,SUPPORT,,FALSE,
magic_obj,Magic Obj,INT,,,SUPPORT,MAGE,FALSE,
mechanics,Mechanics,INT,,,SUPPORT,,FALSE,
mental_focus,Mental Focus,WIL,,,SUPPORT,MAGE;Showman,FALSE,
minning,Minning,STR,,,SUPPORT,,FALSE,
perform,Perform,CAR,,,SUPPORT,BARD;Minstrel,TRUE,"must declare specialty (instrument, singing, dancing, ...)"
rest,REST,STR,,,SUPPORT,,FALSE,
riding,Riding,AGI,,,SUPPORT,,FALSE,
sense_motive,Sense Motive,PER,,,SUPPORT,,FALSE,
sleight_of_hand,Sleight of Hand,AGI,,,SUPPORT,BARD;Thief,FALSE,
spellcraft,Spellcraft,PER,,,SUPPORT,MAGE;Mystic,FALSE,
spirit_sensitivity,Spirit Sensitivity,CAR,,,SUPPORT,PRIEST,FALSE,
streetwise,Streetwise,PER,,,SUPPORT,,FALSE,
tracking,Tracking,PER,,,SUPPORT,,FALSE,
trapper,Trapper,INT,,,SUPPORT,EXPLORER,FALSE,
wayfarer,Wayfarer,WIL,,,SUPPORT,,FALSE,
wilderness,Wilderness,WIL,,,SUPPORT,DRUID;Survivalist,FALSE,
