spec_id,name,attribute,type,parent_skill,gate,description
monster_carver_basic,Monster Carver (Basic),AGI,Support,Dismantle,Skill 10,"monster carver is the person who skins and extract every monster part to ensure maximun efficiency and that there is not any loss, unlike a dismantler a carver is capable of dismembering higher ranked monsters with tough skin and poisonous blood until its all usable, however, it needs special tools for diferent monsters"
salvaging_lesser,Salvaging (Lesser),AGI,Support,Dismantle,Skill 10,"The skill to reclaim and restore, damaged structures and property without damaging them. In simplified terms allows to extract useful and expensive parts from dificult locations in order to sell or reuse them, also, it is specially important in either magical vessels recovery or a sea ship's recovery of their cargo as only a salvaging expert is capable of recovering sensitive materials in good conditions."
scavanging,Scavanging,AGI,Support,Dismantle,Skill 10,"scavaning is an ability to loot and seek throughly for any usable items in a very efficient manner, the user is like a hound looking everywhere and everything for items to loot, its a skill that increases the both the amount of loot and more"
camoflague_intermediate,Camoflague (Intermediate),AGI,Support,Hide,Skill 10,"a rare version of hide, which adds the use of natural enviroment coverage to a greater effectivity in adition to hide basic cover qualities, it increases the cover value of a specific natural speciality which choosen upon taken this skill"
cloak_and_dagger_intermediate,Cloak and Dagger (Intermediate),AGI,Support,Hide,Skill 10,"the ability to perform acts of questionable nature and hide your trail, the skill is useful to counter investigation skills"
hide_in_plain_sight_basic,Hide in Plain Sight (Basic),AGI,Support,Hide,Skill 10,"the ability to hide in plain sight by blending with the surroundings, this means that instead of hiding by using a cover the user is capable of blending with the active environment by performing actions which are appropiate to fit in with the surroundings, hide in plain sight is greatly influenced by the user outward appereance+C62"
escapist_inter,Escapist (Inter),AGI,Support,Sleight of Hand,Skill 10,the skil to escape from binds such as ropes chain or simple grappling
prestidigitation,Prestidigitation,AGI,Support,Sleight of Hand,Skill 10,"refers to fine motor skills when used by performing artists in different art forms to entertain or manipulate. It is closely associated with close-up magic, card magic, card flourishing and stealing. Because of its heavy use and practice by magicians, sleight of hand is often confused as a branch of magic"
thievery,Thievery,AGI,Support,Sleight of Hand,Skill 10,"The ability to substract elements from a person without his knowledge, its a classic"
beast_trainer,Beast Trainer,CHA,Support,Animal Empathy,Skill 10,"the ability to train beasts of different types, it will increase the INT of the animals and allows the user to teach them tricks"
beastmaster,BeastMaster,CHA,Support,Animal Empathy,Skill 10,"the ability to manage and control beast creatures, it allows to manage and care for these animals and increases their loyalty to the user"
falconeer,Falconeer,CHA,Support,Animal Empathy,Skill 10,"the ability to manage and control flying creatures, it allows to manage and care for these animals and increases their loyalty to the user"
shepherd,Shepherd,CHA,Support,Animal Empathy,Skill 10,"The ability to guide animals and befriend them, allowing to move large number of them"
fawn,Fawn,CHA,Support,Bluff,Skill 10,"the ability to adulate and curry into favor from people using sweet words and correct language, its imperative as a street etiquette for survival of the weak, it is limited to etiquettes known by the user. By spending time you can easily built a good relationship with most NPC. Fawn is seen as a despicable act by the more honorable or disciplined people, so be careful"
masquerade,Masquerade,CHA,Support,Bluff,Skill 10,"Some people live two lives, one in the light with a public profile and other in the shadows, this is the ability to create a double life allowing the player to separate both and never be suspected"
subterfuge,Subterfuge,CHA,Support,Bluff,Skill 10,"You know how to conceal your own motives and project what you like. Furthermore, you can root out other people's motives, then use those motives against them"
basic_conversation,Basic Conversation,CHA,Support,Diplomacy,Skill 10,"the ability to establish a pleasant exchange in a festive enviroment, conversation is a high class hobby of most nobbles and usually it entails long dinners, with storytelling and good wit and sharing, its important to gain friends in high society"
burocracy,Burocracy,CHA,Support,Diplomacy,Skill 10,the ability to work in a efficient manner in the a company or state buroucracy
dignity,Dignity,CHA,Support,Diplomacy,Skill 10,"little words are needed, a person with tremendous dignity is someone who can project a charming and confident self, its a basic skills to leaders and lords"
negociator_basic,Negociator (Basic),CHA,Support,Haggle,Skill 10,"Negociator is the ability to use your haggling skills to negotiate and mediate in most instances, You're a deal maker, you make a living in through negotiating difficult trade. Whatever your background you are an expert at the art of negotiations. Either born with a silvered tong or forged skills through a teacher and experience, you have an uncanny ability to find the best deal no matter the situation"
salesman,Salesman,CHA,Support,Haggle,Skill 10,"Salesman is the skill which embodies the art of performing advances on unsuspecting people in order to offer services and productos for purchases, its really efficient to break the first barriers onto most people, but its useless with hostile targets, however, salesmen build trust upon each and every sale so their customers become sort or less their own personal network."
swindler,Swindler,CHA,Support,Haggle,Skill 10,"A swindler, is adept into making people buy low quality items and trash for excessive amounts, they are regarded poorly by the merchant community but they still make a fair bit of dough. Also character capable of buying and selling item illegal items and substances, he knows who and where to buy and can sell small illegal goods in a few hours of work."
menace_inter,Menace (inter),CHA,Support,Intimidation,Skill 10,"The ability to use intimidation effectively in battle related circumstances and overpower the enemy by using your body language and your actions rather than words, this skill becomes weak outside of battle"
undertaker_inter,Undertaker (inter),CHA,Support,Intimidation,Skill 10,"Fear is a useful tool for those who know how to use it, The manipulation of others through the use of threats, both stated and implied. you can interrogate, threaten and coerce others force them by the sheer strenght of your personality, or simply instill fear into them, however this skill weakens inside of the battlefield."
war_cry_basic,War Cry (basic),CHA,Support,Intimidation,Skill 10,"an applied method of using intimidation by roaring or speaking loudly, its effective in the battlefield and sometimes outside of the battlefield"
fate_walker,Fate Walker,INT,Support,Astrology,Skill 10,"the ability to follow fate and let yourself go with the current of destiny, you are a awakening as a seer and fate is showing you visions and dreams"
fortune-telling,Fortune-Telling,INT,Support,Astrology,Skill 10,"the ability to glimpse the strands of fate and destiny that make up the universe, and can gain some glimmer of insight into the future as a result"
occultism,Occultism,INT,Support,Astrology,Skill 10,"The user recognizes occult paraphernalia, words, and concepts, and identifies grimoires of magic and occult codes when he sees them. This is the skill that dives deep into superstision and obscure esoteric knowledge, some of it is bullshit some of it is the gate to the abyss"
basic_array_mastery,Basic Array Mastery,INT,Support,Formal Magics,Skill 10,"the ability to peform basic arrays, allowing a wide range of applications in magic based cultures, including the making of semi-permanent magic circles"
witchcraft,Witchcraft,INT,Support,Formal Magics,Skill 10,"The ancient art of witchcraft as explained by the kabbalistic witches of the modern era, its rich in occult knowledge relating to nature and magic"
brewing,Brewing,INT,Support,Herbalism,Skill 10,"The ability to produce distiled liquor from fruits and plants, it can be also used to ferment and distil other natural based products such as alcohol (beer, wine, etc) and any by product of distilling process."
horticulture,Horticulture,INT,Support,Herbalism,Skill 10,"The ability to grow plants by the means of simple seeds or plant graft, ground and water. The user is capable of tending gardens or wildplants and caring for these plants to harvest useful fruits and other natural produce."
potion_making,Potion Making,INT,Support,Herbalism,Skill 10,The art of making potions and other products made by herbal processing products this is a large field of exploration and it is far reaching in its capacity to produce all sort of consumables
basic_philosophy,Basic Philosophy,INT,Support,Knowledge,Skill 10,A learned person is capable of understanding the concept of things and the ethereal behind the physical
